Year;Country;Region;Indicator;Gender;Cause;Dim2ValueCode;ValueNumeric;ValueLow;ValueHigh;Value
2016;Burundi;Africa;Ambient air pollution attributable deaths;Male;Lower respiratory infections;ENVCAUSE039;1246.0;866.2;1656.0;1,246 [866.2 – 1,656]
2016;Singapore;Western Pacific;Ambient air pollution attributable deaths;Male;Total;ENVCAUSE000;1252.0;980.1;1572.0;1,252 [980.1 – 1,572]
2016;South Africa;Africa;Ambient air pollution attributable deaths;Female;Chronic obstructive pulmonary disease;ENVCAUSE118;1259.0;678.0;1973.0;1,259 [678 – 1,973]
2016;Dominican Republic;Americas;Ambient air pollution attributable deaths;Female;Total;ENVCAUSE000;1298.0;1061.0;1554.0;1,298 [1,061 – 1,554]
2016;Sri Lanka;South-East Asia;Ambient air pollution attributable deaths;Female;Ischaemic heart disease;ENVCAUSE113;1344.0;980.6;1720.0;1,344 [980.6 – 1,720]
2016;Turkey;Europe;Ambient air pollution attributable deaths;Male;Lower respiratory infections;ENVCAUSE039;1376.0;1044.0;1733.0;1,376 [1,044 – 1,733]
2016;Georgia;Europe;Ambient air pollution attributable deaths;Female;Ischaemic heart disease;ENVCAUSE113;1379.0;932.6;1849.0;1,379 [932.6 – 1,849]
2016;Central African Republic;Africa;Ambient air pollution attributable deaths;Male;Total;ENVCAUSE000;1402.0;1201.0;1621.0;1,402 [1,201 – 1,621]
2016;Yemen;Eastern Mediterranean;Ambient air pollution attributable deaths;Female;Stroke;ENVCAUSE114;1444.0;1222.0;1693.0;1,444 [1,222 – 1,693]
2016;Bosnia and Herzegovina;Europe;Ambient air pollution attributable deaths;Female;Total;ENVCAUSE000;1453.0;1152.0;1810.0;1,453 [1,152 – 1,810]
2016;Georgia;Europe;Ambient air pollution attributable deaths;Male;Ischaemic heart disease;ENVCAUSE113;1489.0;1150.0;1809.0;1,489 [1,150 – 1,809]
2016;Sudan;Eastern Mediterranean;Ambient air pollution attributable deaths;Both sexes;Chronic obstructive pulmonary disease;ENVCAUSE118;1489.0;880.3;2148.0;1,489 [880.3 – 2,148]
2016;Benin;Africa;Ambient air pollution attributable deaths;Male;Lower respiratory infections;ENVCAUSE039;1542.0;1112.0;2003.0;1,542 [1,112 – 2,003]
2016;Cambodia;Western Pacific;Ambient air pollution attributable deaths;Both sexes;Lower respiratory infections;ENVCAUSE039;1556.0;953.4;2217.0;1,556 [953.4 – 2,217]
2016;Myanmar;South-East Asia;Ambient air pollution attributable deaths;Both sexes;Trachea, bronchus, lung cancers;ENVCAUSE068;1566.0;944.0;2258.0;1,566 [944 – 2,258]
2016;Bolivia (Plurinational State of);Americas;Ambient air pollution attributable deaths;Female;Total;ENVCAUSE000;1642.0;1348.0;1967.0;1,642 [1,348 – 1,967]
2016;France;Europe;Ambient air pollution attributable deaths;Female;Stroke;ENVCAUSE114;1649.0;623.4;4069.0;1,649 [623.4 – 4,069]
2016;Chad;Africa;Ambient air pollution attributable deaths;Both sexes;Ischaemic heart disease;ENVCAUSE113;1658.0;1415.0;1905.0;1,658 [1,415 – 1,905]
2016;Congo;Africa;Ambient air pollution attributable deaths;Both sexes;Total;ENVCAUSE000;1671.0;1441.0;1928.0;1,671 [1,441 – 1,928]
2016;South Sudan;Africa;Ambient air pollution attributable deaths;Female;Lower respiratory infections;ENVCAUSE039;1733.0;1292.0;2202.0;1,733 [1,292 – 2,202]
2016;Yemen;Eastern Mediterranean;Ambient air pollution attributable deaths;Male;Lower respiratory infections;ENVCAUSE039;1736.0;1326.0;2169.0;1,736 [1,326 – 2,169]
2016;Burkina Faso;Africa;Ambient air pollution attributable deaths;Both sexes;Ischaemic heart disease;ENVCAUSE113;1753.0;1461.0;2039.0;1,753 [1,461 – 2,039]
2016;Guatemala;Americas;Ambient air pollution attributable deaths;Male;Total;ENVCAUSE000;1772.0;1409.0;2163.0;1,772 [1,409 – 2,163]
2016;Togo;Africa;Ambient air pollution attributable deaths;Male;Total;ENVCAUSE000;1839.0;1513.0;2168.0;1,839 [1,513 – 2,168]
2016;Albania;Europe;Ambient air pollution attributable deaths;Both sexes;Total;ENVCAUSE000;1855.0;1490.0;2326.0;1,855 [1,490 – 2,326]
2016;Papua New Guinea;Western Pacific;Ambient air pollution attributable deaths;Both sexes;Total;ENVCAUSE000;1944.0;1557.0;2456.0;1,944 [1,557 – 2,456]
2016;Burundi;Africa;Ambient air pollution attributable deaths;Female;Total;ENVCAUSE000;1949.0;1559.0;2340.0;1,949 [1,559 – 2,340]
2016;Bolivia (Plurinational State of);Americas;Ambient air pollution attributable deaths;Male;Total;ENVCAUSE000;1990.0;1644.0;2383.0;1,990 [1,644 – 2,383]
2016;Morocco;Eastern Mediterranean;Ambient air pollution attributable deaths;Both sexes;Stroke;ENVCAUSE114;1997.0;1370.0;2863.0;1,997 [1,370 – 2,863]
2016;Saint Vincent and the Grenadines;Americas;Ambient air pollution attributable deaths;Both sexes;Trachea, bronchus, lung cancers;ENVCAUSE068;1.08;0.59;1.66;1.08 [0.59 – 1.66]
2016;Seychelles;Africa;Ambient air pollution attributable deaths;Male;Trachea, bronchus, lung cancers;ENVCAUSE068;1.2;0.64;1.87;1.2 [0.64 – 1.87]
2016;Antigua and Barbuda;Americas;Ambient air pollution attributable deaths;Male;Chronic obstructive pulmonary disease;ENVCAUSE118;1.32;0.63;2.17;1.32 [0.63 – 2.17]
2016;Solomon Islands;Western Pacific;Ambient air pollution attributable deaths;Both sexes;Trachea, bronchus, lung cancers;ENVCAUSE068;1.53;0.7;2.64;1.53 [0.7 – 2.64]
2016;Equatorial Guinea;Africa;Ambient air pollution attributable deaths;Female;Trachea, bronchus, lung cancers;ENVCAUSE068;1.57;1.01;2.17;1.57 [1.01 – 2.17]
2016;Saint Lucia;Americas;Ambient air pollution attributable deaths;Male;Trachea, bronchus, lung cancers;ENVCAUSE068;1.71;0.93;2.63;1.71 [0.93 – 2.63]
2016;Fiji;Western Pacific;Ambient air pollution attributable deaths;Male;Trachea, bronchus, lung cancers;ENVCAUSE068;1.75;0.8;3.0;1.75 [0.8 – 3]
2016;Djibouti;Eastern Mediterranean;Ambient air pollution attributable deaths;Male;Trachea, bronchus, lung cancers;ENVCAUSE068;1.76;1.09;2.49;1.76 [1.09 – 2.49]
2016;Iceland;Europe;Ambient air pollution attributable deaths;Male;Trachea, bronchus, lung cancers;ENVCAUSE068;1.84;0.52;3.86;1.84 [0.52 – 3.86]
2016;Guyana;Americas;Ambient air pollution attributable deaths;Male;Trachea, bronchus, lung cancers;ENVCAUSE068;1.85;1.0;2.86;1.85 [1 – 2.86]
2016;Nepal;South-East Asia;Ambient air pollution attributable deaths;Female;Total;ENVCAUSE000;10031.0;8903.0;11365.0;10,031 [8,903 – 11,365]
2016;South Africa;Africa;Ambient air pollution attributable deaths;Female;Total;ENVCAUSE000;10056.0;8425.0;11921.0;10,056 [8,425 – 11,921]
2016;Pakistan;Eastern Mediterranean;Ambient air pollution attributable deaths;Female;Stroke;ENVCAUSE114;10083.0;8254.0;12158.0;10,083 [8,254 – 12,158]
2016;Brazil;Americas;Ambient air pollution attributable deaths;Both sexes;Stroke;ENVCAUSE114;10121.0;6969.0;16230.0;10,121 [6,969 – 16,230]
2016;Germany;Europe;Ambient air pollution attributable deaths;Male;Ischaemic heart disease;ENVCAUSE113;10263.0;7101.0;13477.0;10,263 [7,101 – 13,477]
2016;Philippines;Western Pacific;Ambient air pollution attributable deaths;Both sexes;Stroke;ENVCAUSE114;10358.0;7999.0;13097.0;10,358 [7,999 – 13,097]
2016;Montenegro;Europe;Ambient air pollution attributable deaths;Female;Chronic obstructive pulmonary disease;ENVCAUSE118;10.57;5.42;17.06;10.57 [5.42 – 17.06]
2016;Jamaica;Americas;Ambient air pollution attributable deaths;Male;Stroke;ENVCAUSE114;102.2;66.58;171.5;102.2 [66.58 – 171.5]
2016;Central African Republic;Africa;Ambient air pollution attributable deaths;Female;Chronic obstructive pulmonary disease;ENVCAUSE118;102.4;60.18;148.1;102.4 [60.18 – 148.1]
2016;Madagascar;Africa;Ambient air pollution attributable deaths;Both sexes;Trachea, bronchus, lung cancers;ENVCAUSE068;102.8;55.83;158.8;102.8 [55.83 – 158.8]
2016;Somalia;Eastern Mediterranean;Ambient air pollution attributable deaths;Female;Chronic obstructive pulmonary disease;ENVCAUSE118;103.3;57.15;158.0;103.3 [57.15 – 158]
2016;Malta;Europe;Ambient air pollution attributable deaths;Both sexes;Ischaemic heart disease;ENVCAUSE113;103.5;70.97;137.2;103.5 [70.97 – 137.2]
2016;Algeria;Africa;Ambient air pollution attributable deaths;Female;Trachea, bronchus, lung cancers;ENVCAUSE068;103.9;63.73;148.2;103.9 [63.73 – 148.2]
2016;Solomon Islands;Western Pacific;Ambient air pollution attributable deaths;Both sexes;Total;ENVCAUSE000;104.4;83.98;129.7;104.4 [83.98 – 129.7]
2016;Mauritania;Africa;Ambient air pollution attributable deaths;Both sexes;Chronic obstructive pulmonary disease;ENVCAUSE118;105.4;60.51;155.8;105.4 [60.51 – 155.8]
2016;Guyana;Americas;Ambient air pollution attributable deaths;Male;Ischaemic heart disease;ENVCAUSE113;105.4;86.6;124.3;105.4 [86.6 – 124.3]
2016;Denmark;Europe;Ambient air pollution attributable deaths;Female;Lower respiratory infections;ENVCAUSE039;105.9;30.85;216.3;105.9 [30.85 – 216.3]
2016;Albania;Europe;Ambient air pollution attributable deaths;Both sexes;Chronic obstructive pulmonary disease;ENVCAUSE118;106.8;51.29;176.2;106.8 [51.29 – 176.2]
2016;Sweden;Europe;Ambient air pollution attributable deaths;Male;Chronic obstructive pulmonary disease;ENVCAUSE118;107.5;17.35;253.2;107.5 [17.35 – 253.2]
2016;United Arab Emirates;Eastern Mediterranean;Ambient air pollution attributable deaths;Male;Chronic obstructive pulmonary disease;ENVCAUSE118;109.3;62.46;161.7;109.3 [62.46 – 161.7]
2016;Viet Nam;Western Pacific;Ambient air pollution attributable deaths;Both sexes;Stroke;ENVCAUSE114;11189.0;8569.0;15011.0;11,189 [8,569 – 15,011]
2016;Pakistan;Eastern Mediterranean;Ambient air pollution attributable deaths;Male;Chronic obstructive pulmonary disease;ENVCAUSE118;11333.0;6880.0;16122.0;11,333 [6,880 – 16,122]
2016;Philippines;Western Pacific;Ambient air pollution attributable deaths;Male;Ischaemic heart disease;ENVCAUSE113;11557.0;9502.0;13459.0;11,557 [9,502 – 13,459]
2016;Barbados;Americas;Ambient air pollution attributable deaths;Both sexes;Chronic obstructive pulmonary disease;ENVCAUSE118;11.11;5.76;17.68;11.11 [5.76 – 17.68]
2016;Sao Tome and Principe;Africa;Ambient air pollution attributable deaths;Female;Lower respiratory infections;ENVCAUSE039;11.5;6.8;16.6;11.5 [6.8 – 16.6]
2016;Angola;Africa;Ambient air pollution attributable deaths;Female;Trachea, bronchus, lung cancers;ENVCAUSE068;11.57;6.67;17.12;11.57 [6.67 – 17.12]
2016;Somalia;Eastern Mediterranean;Ambient air pollution attributable deaths;Male;Trachea, bronchus, lung cancers;ENVCAUSE068;11.83;6.91;17.36;11.83 [6.91 – 17.36]
2016;Uruguay;Americas;Ambient air pollution attributable deaths;Male;Chronic obstructive pulmonary disease;ENVCAUSE118;110.4;33.9;210.7;110.4 [33.9 – 210.7]
2016;Jordan;Eastern Mediterranean;Ambient air pollution attributable deaths;Male;Chronic obstructive pulmonary disease;ENVCAUSE118;111.4;62.25;169.3;111.4 [62.25 – 169.3]
2016;Cabo Verde;Africa;Ambient air pollution attributable deaths;Female;Total;ENVCAUSE000;112.0;94.38;131.3;112 [94.38 – 131.3]
2016;Bulgaria;Europe;Ambient air pollution attributable deaths;Female;Lower respiratory infections;ENVCAUSE039;112.4;59.63;174.1;112.4 [59.63 – 174.1]
2016;Zambia;Africa;Ambient air pollution attributable deaths;Female;Chronic obstructive pulmonary disease;ENVCAUSE118;113.0;60.21;177.6;113 [60.21 – 177.6]
2016;Haiti;Americas;Ambient air pollution attributable deaths;Female;Chronic obstructive pulmonary disease;ENVCAUSE118;113.1;49.04;192.6;113.1 [49.04 – 192.6]
2016;Kuwait;Eastern Mediterranean;Ambient air pollution attributable deaths;Male;Stroke;ENVCAUSE114;113.4;96.05;131.0;113.4 [96.05 – 131]
2016;Slovenia;Europe;Ambient air pollution attributable deaths;Female;Stroke;ENVCAUSE114;113.9;50.79;244.9;113.9 [50.79 – 244.9]
2016;Botswana;Africa;Ambient air pollution attributable deaths;Both sexes;Stroke;ENVCAUSE114;115.6;88.33;151.8;115.6 [88.33 – 151.8]
2016;Kazakhstan;Europe;Ambient air pollution attributable deaths;Female;Lower respiratory infections;ENVCAUSE039;119.3;41.57;227.3;119.3 [41.57 – 227.3]
2016;Chad;Africa;Ambient air pollution attributable deaths;Both sexes;Total;ENVCAUSE000;12033.0;10030.0;14166.0;12,033 [10,030 – 14,166]
2016;Côte d’Ivoire;Africa;Ambient air pollution attributable deaths;Both sexes;Total;ENVCAUSE000;12614.0;9962.0;15312.0;12,614 [9,962 – 15,312]
2016;Nigeria;Africa;Ambient air pollution attributable deaths;Both sexes;Stroke;ENVCAUSE114;12751.0;10824.0;14899.0;12,751 [10,824 – 14,899]
2016;Mexico;Americas;Ambient air pollution attributable deaths;Female;Total;ENVCAUSE000;12799.0;10470.0;15404.0;12,799 [10,470 – 15,404]
2016;Suriname;Americas;Ambient air pollution attributable deaths;Both sexes;Chronic obstructive pulmonary disease;ENVCAUSE118;12.91;6.82;20.45;12.91 [6.82 – 20.45]
2016;China;Western Pacific;Ambient air pollution attributable deaths;Female;Chronic obstructive pulmonary disease;ENVCAUSE118;120139.0;71956.0;172655.0;120,139 [71,956 – 172,655]
2016;Australia;Western Pacific;Ambient air pollution attributable deaths;Male;Lower respiratory infections;ENVCAUSE039;120.6;31.06;265.1;120.6 [31.06 – 265.1]
2016;Lebanon;Eastern Mediterranean;Ambient air pollution attributable deaths;Male;Chronic obstructive pulmonary disease;ENVCAUSE118;122.1;67.86;185.7;122.1 [67.86 – 185.7]
2016;Togo;Africa;Ambient air pollution attributable deaths;Female;Chronic obstructive pulmonary disease;ENVCAUSE118;123.9;69.13;188.6;123.9 [69.13 – 188.6]
2016;Lao People's Democratic Republic;Western Pacific;Ambient air pollution attributable deaths;Female;Chronic obstructive pulmonary disease;ENVCAUSE118;124.7;66.27;196.5;124.7 [66.27 – 196.5]
2016;South Sudan;Africa;Ambient air pollution attributable deaths;Female;Chronic obstructive pulmonary disease;ENVCAUSE118;126.8;73.02;186.8;126.8 [73.02 – 186.8]
2016;Armenia;Europe;Ambient air pollution attributable deaths;Male;Chronic obstructive pulmonary disease;ENVCAUSE118;128.1;71.16;195.2;128.1 [71.16 – 195.2]
2016;Jamaica;Americas;Ambient air pollution attributable deaths;Male;Ischaemic heart disease;ENVCAUSE113;128.4;92.12;164.2;128.4 [92.12 – 164.2]
2016;Comoros;Africa;Ambient air pollution attributable deaths;Male;Total;ENVCAUSE000;128.7;97.19;163.5;128.7 [97.19 – 163.5]
2016;Suriname;Americas;Ambient air pollution attributable deaths;Male;Total;ENVCAUSE000;128.8;112.9;146.2;128.8 [112.9 – 146.2]
2016;Papua New Guinea;Western Pacific;Ambient air pollution attributable deaths;Male;Trachea, bronchus, lung cancers;ENVCAUSE068;13.09;6.06;22.37;13.09 [6.06 – 22.37]
2016;Malta;Europe;Ambient air pollution attributable deaths;Female;Lower respiratory infections;ENVCAUSE039;13.11;5.18;23.46;13.11 [5.18 – 23.46]
2016;Luxembourg;Europe;Ambient air pollution attributable deaths;Both sexes;Total;ENVCAUSE000;130.3;96.76;171.1;130.3 [96.76 – 171.1]
2016;Bahrain;Eastern Mediterranean;Ambient air pollution attributable deaths;Both sexes;Ischaemic heart disease;ENVCAUSE113;130.6;111.7;150.2;130.6 [111.7 – 150.2]
2016;India;South-East Asia;Ambient air pollution attributable deaths;Female;Lower respiratory infections;ENVCAUSE039;132306.0;105538.0;158226.0;132,306 [105,538 – 158,226]
2016;Greece;Europe;Ambient air pollution attributable deaths;Female;Trachea, bronchus, lung cancers;ENVCAUSE068;137.5;70.82;221.6;137.5 [70.82 – 221.6]
2016;India;South-East Asia;Ambient air pollution attributable deaths;Female;Ischaemic heart disease;ENVCAUSE113;138655.0;118003.0;159649.0;138,655 [118,003 – 159,649]
2016;Dominican Republic;Americas;Ambient air pollution attributable deaths;Female;Lower respiratory infections;ENVCAUSE039;139.4;55.58;248.3;139.4 [55.58 – 248.3]
2016;Cameroon;Africa;Ambient air pollution attributable deaths;Both sexes;Total;ENVCAUSE000;14430.0;12567.0;16377.0;14,430 [12,567 – 16,377]
2016;Mexico;Americas;Ambient air pollution attributable deaths;Both sexes;Ischaemic heart disease;ENVCAUSE113;14692.0;11123.0;18238.0;14,692 [11,123 – 18,238]
2016;Argentina;Americas;Ambient air pollution attributable deaths;Both sexes;Total;ENVCAUSE000;14820.0;11286.0;19224.0;14,820 [11,286 – 19,224]
2016;United Republic of Tanzania;Africa;Ambient air pollution attributable deaths;Female;Trachea, bronchus, lung cancers;ENVCAUSE068;14.23;8.1;21.28;14.23 [8.1 – 21.28]
2016;Seychelles;Africa;Ambient air pollution attributable deaths;Female;Total;ENVCAUSE000;14.99;12.02;18.18;14.99 [12.02 – 18.18]
2016;Libya;Eastern Mediterranean;Ambient air pollution attributable deaths;Male;Trachea, bronchus, lung cancers;ENVCAUSE068;141.3;90.26;194.9;141.3 [90.26 – 194.9]
2016;Timor-Leste;South-East Asia;Ambient air pollution attributable deaths;Female;Total;ENVCAUSE000;142.8;113.6;177.5;142.8 [113.6 – 177.5]
2016;Malaysia;Western Pacific;Ambient air pollution attributable deaths;Female;Trachea, bronchus, lung cancers;ENVCAUSE068;143.9;74.1;231.8;143.9 [74.1 – 231.8]
2016;Libya;Eastern Mediterranean;Ambient air pollution attributable deaths;Female;Lower respiratory infections;ENVCAUSE039;144.1;110.9;179.5;144.1 [110.9 – 179.5]
2016;Eswatini;Africa;Ambient air pollution attributable deaths;Both sexes;Lower respiratory infections;ENVCAUSE039;144.1;68.04;234.5;144.1 [68.04 – 234.5]
2016;Jordan;Eastern Mediterranean;Ambient air pollution attributable deaths;Female;Lower respiratory infections;ENVCAUSE039;144.3;100.8;191.1;144.3 [100.8 – 191.1]
2016;Kyrgyzstan;Europe;Ambient air pollution attributable deaths;Male;Chronic obstructive pulmonary disease;ENVCAUSE118;146.1;75.69;235.6;146.1 [75.69 – 235.6]
2016;Panama;Americas;Ambient air pollution attributable deaths;Both sexes;Stroke;ENVCAUSE114;147.3;88.23;274.5;147.3 [88.23 – 274.5]
2016;Trinidad and Tobago;Americas;Ambient air pollution attributable deaths;Female;Ischaemic heart disease;ENVCAUSE113;149.2;112.3;184.8;149.2 [112.3 – 184.8]
2016;Pakistan;Eastern Mediterranean;Ambient air pollution attributable deaths;Male;Lower respiratory infections;ENVCAUSE039;15305.0;11922.0;18713.0;15,305 [11,922 – 18,713]
2016;Belize;Americas;Ambient air pollution attributable deaths;Both sexes;Stroke;ENVCAUSE114;15.87;11.83;21.51;15.87 [11.83 – 21.51]
2016;Paraguay;Americas;Ambient air pollution attributable deaths;Male;Stroke;ENVCAUSE114;150.3;106.1;223.6;150.3 [106.1 – 223.6]
2016;Australia;Western Pacific;Ambient air pollution attributable deaths;Female;Trachea, bronchus, lung cancers;ENVCAUSE068;150.6;61.34;285.0;150.6 [61.34 – 285]
2016;Georgia;Europe;Ambient air pollution attributable deaths;Female;Chronic obstructive pulmonary disease;ENVCAUSE118;152.6;78.5;245.1;152.6 [78.5 – 245.1]
2016;The former Yugoslav Republic of Macedonia;Europe;Ambient air pollution attributable deaths;Both sexes;Chronic obstructive pulmonary disease;ENVCAUSE118;154.1;85.02;236.3;154.1 [85.02 – 236.3]
2016;Iraq;Eastern Mediterranean;Ambient air pollution attributable deaths;Female;Trachea, bronchus, lung cancers;ENVCAUSE068;155.9;103.5;208.5;155.9 [103.5 – 208.5]
2016;Canada;Americas;Ambient air pollution attributable deaths;Male;Lower respiratory infections;ENVCAUSE039;156.0;18.23;419.1;156 [18.23 – 419.1]
2016;Democratic Republic of the Congo;Africa;Ambient air pollution attributable deaths;Female;Total;ENVCAUSE000;16180.0;13243.0;19277.0;16,180 [13,243 – 19,277]
2016;Honduras;Americas;Ambient air pollution attributable deaths;Female;Trachea, bronchus, lung cancers;ENVCAUSE068;16.29;8.76;25.31;16.29 [8.76 – 25.31]
2016;Eswatini;Africa;Ambient air pollution attributable deaths;Female;Chronic obstructive pulmonary disease;ENVCAUSE118;16.75;7.54;27.99;16.75 [7.54 – 27.99]
2016;Jamaica;Americas;Ambient air pollution attributable deaths;Female;Chronic obstructive pulmonary disease;ENVCAUSE118;16.93;6.78;29.65;16.93 [6.78 – 29.65]
2016;The former Yugoslav Republic of Macedonia;Europe;Ambient air pollution attributable deaths;Male;Lower respiratory infections;ENVCAUSE039;16.96;11.49;22.92;16.96 [11.49 – 22.92]
2016;Burkina Faso;Africa;Ambient air pollution attributable deaths;Male;Trachea, bronchus, lung cancers;ENVCAUSE068;16.99;10.36;24.34;16.99 [10.36 – 24.34]
2016;Dominican Republic;Americas;Ambient air pollution attributable deaths;Both sexes;Chronic obstructive pulmonary disease;ENVCAUSE118;160.0;64.87;277.8;160 [64.87 – 277.8]
2016;Norway;Europe;Ambient air pollution attributable deaths;Both sexes;Stroke;ENVCAUSE114;160.8;57.53;464.1;160.8 [57.53 – 464.1]
2016;Israel;Europe;Ambient air pollution attributable deaths;Male;Trachea, bronchus, lung cancers;ENVCAUSE068;162.6;86.88;254.3;162.6 [86.88 – 254.3]
2016;Austria;Europe;Ambient air pollution attributable deaths;Male;Stroke;ENVCAUSE114;165.1;91.3;322.4;165.1 [91.3 – 322.4]
2016;Equatorial Guinea;Africa;Ambient air pollution attributable deaths;Female;Lower respiratory infections;ENVCAUSE039;167.1;128.5;207.8;167.1 [128.5 – 207.8]
2016;Syrian Arab Republic;Eastern Mediterranean;Ambient air pollution attributable deaths;Female;Chronic obstructive pulmonary disease;ENVCAUSE118;167.1;96.8;244.6;167.1 [96.8 – 244.6]
